TransactionNo,ItemsPurchased
465,Brownie
3866,"Sandwich, Coffee, Hot chocolate"
3634,Tea
2128,Bread
549,Scandinavian
7418,"Hot chocolate, Coffee, Cake"
4479,"Tea, Tea"
5310,"Coffee, Tea, Sandwich, Chicken Stew"
1858,"Coffee, Coffee, Pastry"
9003,Coffee
1190,"Bread, Alfajores, Muffin"
5481,"Toast, Tea, Coffee"
6671,Bread
9180,"Pastry, Coffee"
5055,"Granola, Coffee"
3554,"Cake, Coffee"
1314,"Sandwich, Bread"
7807,"Coffee, Tiffin, Cake, Truffles"
937,Scandinavian
4494,Coffee
7715,"Coffee, Cake"
3324,"Coffee, Cookies, Juice"
9078,Bread
9385,"Coffee, Baguette"
3017,"Frittata, Coffee"
8745,Bread
6510,Coffee
5582,Coffee
4337,"Tea, Coffee, Frittata"
6195,Tea
4961,Farm House
7582,"Coffee, Tea, Toast"
388,"Sandwich, Bread, Coffee"
5425,"Truffles, Soup"
1473,"Bread, Scandinavian"
3068,"Scandinavian, Vegan mincepie"
3413,"Coffee, Brownie"
2722,"Bread, Cookies"
3458,Tea
1438,"Sandwich, Soup, Bread, Cake"
