TransactionNo,ItemsPurchased
63,Coffee
64,Cake
65,"Tea, Coffee"
66,"Mineral water, Hearty & Seasonal"
67,"Muffin, Mineral water, Hearty & Seasonal"
68,"Tea, Coffee, Scandinavian"
69,"Tea, Bread"
70,Fudge
71,Muffin
72,"Bread, Coffee"
73,Bread
74,"Coffee, Bread"
75,Jam
76,Coffee
77,Scandinavian
78,Fudge
79,"Coffee, Tea, Fudge, Muffin"
80,"Bread, Coffee"
81,"Cake, Coffee"
82,Bread
83,"Coffee, Bread"
84,Bread
85,"Pastry, Coffee, Coffee, Medialuna"
86,Juice
87,Bread
88,"Coffee, Coffee, Jam"
89,Bread
90,"Bread, Coffee"
91,Tea
92,Coffee
93,"Bread, Coke"
94,"Coffee, Coffee"
95,"Tea, Farm House, Pastry"
96,"Pastry, Pastry, Juice, Coffee"
97,"Coffee, Pastry, Juice"
98,Farm House
99,"Bread, Coffee, Pastry, Pastry"
100,Bread
101,"Pastry, Coffee"
102,Farm House
103,Bread
104,"Medialuna, Muffin, Coffee, Coffee, Coffee"
105,"Coffee, Tea, Cake"
106,"Coffee, Coffee, Pastry, Pastry"
107,"Tea, Coffee"
108,"Muffin, Farm House"
109,"Pastry, Bread, Muffin"
110,Pastry
111,Coffee
112,Coffee
113,"Coffee, Cake"
114,Farm House
115,Bread
116,Coffee
117,"Cookies, Cake, Coffee"
118,"Tea, Cookies, Cookies, Pastry"
119,"Muffin, Coffee, Coffee"
120,Farm House
121,"Coffee, Bread"
122,Cookies
