TransactionNo,ItemsPurchased
7668,Jammie Dodgers
3951,"Hot chocolate, Bread"
839,"Pastry, Coffee, Juice"
5677,"Hot chocolate, Coffee"
2911,Cake
1076,"Bread, Hearty & Seasonal"
514,Brownie
1963,Bread
1937,Coffee
7520,"Farm House, Coffee, Hot chocolate"
4643,"Tea, Hot chocolate, Cookies, Jammie Dodgers, Bread"
4578,"Toast, Coffee"
9602,"Truffles, Tacos/Fajita, Bread, Cake"
266,"Bread, Pastry"
2735,"Coffee, Mineral water, Alfajores, Cake, Sandwich"
292,Cookies
286,"Bread, Juice, Alfajores"
7309,"Bread, Bread"
3238,"Coffee, Pastry"
8534,"Coffee, Coffee, Bread"
5264,"Chicken Stew, Art Tray, Pastry, Truffles, Coffee, Coke, Bread"
6127,"Bread, Coffee"
1968,Bread
2619,"Medialuna, Crepes"
1355,"Coffee, Tea, Keeping It Local"
845,"Pastry, Medialuna"
8477,"Coffee, Pastry"
8692,Bread
4654,"Hot chocolate, Bread, Medialuna, Toast"
4128,"Sandwich, Cookies"
7106,"Coffee, Soup, Sandwich, Cake"
8436,Farm House
4312,"Bread, Jammie Dodgers, Tea, Coffee"
299,Bread
4891,"Coffee, Tea, Coffee, Cake, Cookies"
9271,"Cake, Bread, Sandwich, Sandwich"
6651,"Coffee, Cake, Brownie, Alfajores"
8535,Jam
6937,"Coffee, Medialuna"
3129,"Vegan mincepie, Coffee, Tea"
