TransactionNo,ItemsPurchased
245,"Cookies, Cake"
246,"Bread, Tea"
247,"Coffee, Coffee, Coffee, Juice, Alfajores"
248,"Soup, Tea, Coffee"
249,Hot chocolate
250,Cookies
251,"Medialuna, Coffee"
252,Bread
253,Scandinavian
254,Medialuna
255,"Coffee, Coffee, Pastry"
256,"Coffee, Bread"
257,"Bread, Coffee, Pastry"
258,"Coffee, Pastry"
259,Pastry
260,Coffee
261,Coffee
262,"Coffee, Pastry, Hot chocolate"
263,Coke
264,"Coffee, Jam"
265,Tea
266,"Pastry, Bread"
267,"Coffee, Alfajores, Farm House"
268,"Tea, Pastry"
269,Bread
270,"Jam, Coffee"
271,"Pastry, Coffee, Coffee, Tea"
272,Farm House
274,"Pastry, Bread, Coffee"
275,Farm House
276,"Coffee, Coffee, Pastry"
277,Farm House
278,"Pastry, Coffee"
279,Coffee
280,"Coffee, Pastry"
281,"Bread, Bread"
282,"Bread, Coffee, Pastry"
283,"Coffee, Pastry"
284,"Farm House, Coffee"
285,"Pastry, Farm House, Farm House"
286,"Alfajores, Juice, Bread"
287,"Pastry, Coffee"
288,"Bread, Alfajores"
289,Bread
290,"Cookies, Coffee"
291,Coffee
292,Cookies
293,Hearty & Seasonal
294,Coffee
295,"Jam, Bread"
296,"Scandinavian, Farm House"
297,"Coffee, Hearty & Seasonal, Scandinavian, Muffin"
298,"Coffee, Coke"
299,Bread
300,"Farm House, Alfajores, Scandinavian, Coffee, Coffee"
301,"Mineral water, Soup, Juice"
302,"Tea, Soup"
303,"Soup, Cookies, Juice, Tea"
304,"Tea, Hearty & Seasonal"
305,Fudge
