TransactionNo,ItemsPurchased
1727,"Coffee, Kids biscuit"
4234,"Coffee, Cookies, Toast"
8514,Coffee
1542,Bread
4954,"Coffee, Toast"
6479,"Coffee, Coffee, Alfajores, Cake, Brownie"
3643,"Bread, Pastry, The Nomad, Bread, Bread"
225,"Coffee, Coke, Soup"
6189,"Spanish Brunch, Tea"
8531,"Tea, Soup"
448,Bread
2699,Bread
3997,"Bread, Coffee"
3482,Coffee
3466,"Toast, Cookies"
6462,"Spanish Brunch, Cake"
7181,Coffee
5066,Cookies
483,Bread
6424,"Coffee, Juice"
6034,Bread
1294,"Coffee, Coffee, Kids biscuit"
71,Muffin
5286,"Coffee, Bread"
3778,Bread
3570,"Bread, Pastry"
7086,"Coffee, Coffee"
6155,Hot chocolate
1749,"Farm House, Cake, Medialuna, Tea, Coffee"
332,"Coffee, Alfajores"
1408,"Coffee, Medialuna"
4660,Bread
5852,"Truffles, Juice, Coffee, Bread, Pastry, Scone"
3502,"Truffles, Sandwich"
2680,"Coffee, Bread, Coffee"
9526,Bread
4271,Pastry
3109,Jam
4000,Coffee
7815,"Coffee, Toast"
