TransactionNo,ItemsPurchased
123,"Coffee, Coffee, Jam, Juice"
124,"Coffee, Soup"
125,Tea
126,"Coffee, Jam"
127,Farm House
128,"Coffee, Tea"
129,"Coffee, Coffee, Cake"
130,"Coffee, Coffee, Muffin"
131,"Bread, Coffee"
132,"Cookies, Juice, Tea"
133,"Soup, Hearty & Seasonal"
134,"Farm House, Tea, Hearty & Seasonal"
135,Bread
136,"Tea, Soup"
137,Farm House
138,"Hearty & Seasonal, Coffee, Soup"
139,"Hearty & Seasonal, Muffin, Bread"
140,"Cookies, Coffee, Coffee"
141,Bread
142,"Muffin, Tea"
143,Tea
144,"Soup, Hearty & Seasonal"
145,"Coffee, Tea"
146,Sandwich
147,Coffee
148,"Fudge, Coffee, Coffee"
149,Coffee
150,Bread
151,"Coke, Soup"
152,Muffin
153,"Muffin, Cookies, Tea, Coffee"
154,"Hearty & Seasonal, Coke, Coffee"
155,"Tea, Muffin, Sandwich"
156,"Muffin, Coffee"
157,"Bread, Coffee"
158,"Muffin, Coffee"
159,"Hot chocolate, Cookies, Bread"
160,"Mineral water, Muffin"
161,Tea
162,Muffin
