TransactionNo,ItemsPurchased
163,"Juice, Coffee"
164,"Coffee, Muffin"
165,Tea
166,"Coffee, Muffin"
167,"Mineral water, Bread, Sandwich, Hearty & Seasonal"
168,"Tea, Coffee"
169,Mineral water
170,Coffee
171,"Tea, Soup"
172,"Bread, Coffee"
173,"Muffin, Bread"
174,Coffee
175,Bread
176,"Coffee, Cookies"
178,"Pastry, Coffee"
179,"Pastry, Coffee"
180,"Jam, Tea"
181,"Tea, Tea"
182,"Pastry, Pastry"
183,Pastry
184,"Farm House, Tea"
185,Tea
186,"Tea, Pastry"
187,Bread
188,Coffee
189,"Bread, Coffee"
190,"Pastry, Pastry, Coffee"
191,"Soup, Tea"
192,Bread
193,Coffee
194,"Bread, Bread"
195,"Bread, Scandinavian"
196,"Cookies, Cake, Bread"
197,"Tea, Coffee, Coffee"
198,"Coffee, Cookies"
199,Coffee
200,Bread
201,"Coffee, Pastry"
202,"Coffee, Coffee"
203,Coffee
